Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?,KMeans_Cluster,DBSCAN_Cluster
28143,0,1,1,1,174,1,0,0,7000,0,1,0
19244,0,1,1,1,215,2,0,0,6968,0,1,0
41354,0,1,1,1,4123,4,0,0,7034,0,1,0
14776,0,1,1,1,500,1,0,0,6952,0,1,0
16420,0,1,1,1,0,0,0,0,6942,0,1,0
84914,0,3,1,1,27482,25,0,0,6994,0,0,0
20856,0,1,1,1,5250,4,250,1,6938,1,2,1
40091,0,2,1,1,7278,10,0,0,6959,0,1,0
43382,0,2,1,1,11150,20,0,0,6924,0,0,0
43097,0,1,1,1,3258,6,0,0,6918,0,1,0
17648,0,1,1,1,0,0,0,0,6912,0,1,0
28495,0,4,1,1,49442,15,0,0,6912,1,0,2
51890,0,4,1,1,48963,16,0,0,6910,1,0,2
13958,0,1,1,1,4291,5,0,0,6905,1,1,2
91473,0,3,1,1,27408,17,0,0,6903,1,0,2
23354,0,3,1,1,10447,5,0,0,6896,1,0,2
66275,0,1,1,1,2533,11,150,1,6884,0,2,3
20726,0,1,1,1,1375,4,0,0,7924,0,1,0
8828,0,1,1,1,0,0,0,0,7914,0,1,0
59763,0,3,1,1,33772,20,100,1,7907,1,0,1
19221,0,1,1,1,4655,8,500,1,7896,1,2,1
177926,0,3,1,1,20797,13,0,0,7886,0,0,0
10021,0,1,1,1,0,0,0,0,7879,0,1,0
18047,0,1,1,1,100,1,0,0,7868,0,1,0
43832,0,1,1,1,0,0,0,0,7865,0,1,0
68666,0,1,1,1,350,2,350,2,7861,0,2,4
59990,0,3,1,1,27878,17,0,0,7854,1,0,2
2176,0,1,1,1,0,0,0,0,7847,1,1,2
34616,0,1,1,1,1750,4,500,1,7850,0,2,3
10470,0,4,1,1,38094,26,0,0,7840,1,0,2
121260,0,3,1,1,18493,18,0,0,7808,0,0,0
